guid/image/axis,value
e024982a-233f-45b4-a6ec-505f5b0c2649/0006/x,1.1788138151168823
e024982a-233f-45b4-a6ec-505f5b0c2649/0006/y,-1.639349102973938
e024982a-233f-45b4-a6ec-505f5b0c2649/0006/z,11.604911804199219
e024982a-233f-45b4-a6ec-505f5b0c2649/0012/x,1.2062022686004639
e024982a-233f-45b4-a6ec-505f5b0c2649/0012/y,-1.5395779609680176
e024982a-233f-45b4-a6ec-505f5b0c2649/0012/z,11.475617408752441
e024982a-233f-45b4-a6ec-505f5b0c2649/0068/x,0.06780454516410828
e024982a-233f-45b4-a6ec-505f5b0c2649/0068/y,-0.0904361754655838
e024982a-233f-45b4-a6ec-505f5b0c2649/0068/z,3.2369534969329834
e024982a-233f-45b4-a6ec-505f5b0c2649/0033/x,1.0815660953521729
e024982a-233f-45b4-a6ec-505f5b0c2649/0033/y,-1.7622309923171997
e024982a-233f-45b4-a6ec-505f5b0c2649/0033/z,11.88478946685791
e024982a-233f-45b4-a6ec-505f5b0c2649/0080/x,0.30703970789909363
e024982a-233f-45b4-a6ec-505f5b0c2649/0080/y,-1.1877663135528564
e024982a-233f-45b4-a6ec-505f5b0c2649/0080/z,7.327060699462891
e024982a-233f-45b4-a6ec-505f5b0c2649/0049/x,0.22747133672237396
e024982a-233f-45b4-a6ec-505f5b0c2649/0049/y,-1.3788734674453735
e024982a-233f-45b4-a6ec-505f5b0c2649/0049/z,8.149206161499023
e024982a-233f-45b4-a6ec-505f5b0c2649/0027/x,1.1297606229782104
e024982a-233f-45b4-a6ec-505f5b0c2649/0027/y,-1.6018083095550537
e024982a-233f-45b4-a6ec-505f5b0c2649/0027/z,11.951831817626953
e024982a-233f-45b4-a6ec-505f5b0c2649/0071/x,1.4411770105361938
e024982a-233f-45b4-a6ec-505f5b0c2649/0071/y,-1.0674891471862793
e024982a-233f-45b4-a6ec-505f5b0c2649/0071/z,6.14461612701416
e024982a-233f-45b4-a6ec-505f5b0c2649/0065/x,0.9218679070472717
e024982a-233f-45b4-a6ec-505f5b0c2649/0065/y,-0.9984949827194214
e024982a-233f-45b4-a6ec-505f5b0c2649/0065/z,6.095581531524658
e024982a-233f-45b4-a6ec-505f5b0c2649/0044/x,0.02809245139360428
e024982a-233f-45b4-a6ec-505f5b0c2649/0044/y,-1.1903804540634155
e024982a-233f-45b4-a6ec-505f5b0c2649/0044/z,8.061192512512207
e024982a-233f-45b4-a6ec-505f5b0c2649/0050/x,0.37108543515205383
e024982a-233f-45b4-a6ec-505f5b0c2649/0050/y,-1.4416203498840332
e024982a-233f-45b4-a6ec-505f5b0c2649/0050/z,8.167421340942383
e024982a-233f-45b4-a6ec-505f5b0c2649/0035/x,1.0505318641662598
e024982a-233f-45b4-a6ec-505f5b0c2649/0035/y,-1.4643218517303467
e024982a-233f-45b4-a6ec-505f5b0c2649/0035/z,11.543402671813965
e024982a-233f-45b4-a6ec-505f5b0c2649/0021/x,1.114376425743103
e024982a-233f-45b4-a6ec-505f5b0c2649/0021/y,-1.5799579620361328
e024982a-233f-45b4-a6ec-505f5b0c2649/0021/z,11.788681983947754
e024982a-233f-45b4-a6ec-505f5b0c2649/0000/x,1.051058053970337
e024982a-233f-45b4-a6ec-505f5b0c2649/0000/y,-1.3968853950500488
e024982a-233f-45b4-a6ec-505f5b0c2649/0000/z,8.560161590576172
e024982a-233f-45b4-a6ec-505f5b0c2649/0014/x,1.2770286798477173
e024982a-233f-45b4-a6ec-505f5b0c2649/0014/y,-1.6100603342056274
e024982a-233f-45b4-a6ec-505f5b0c2649/0014/z,11.384786605834961
e024982a-233f-45b4-a6ec-505f5b0c2649/0042/x,-0.38602519035339355
e024982a-233f-45b4-a6ec-505f5b0c2649/0042/y,-1.2238913774490356
e024982a-233f-45b4-a6ec-505f5b0c2649/0042/z,7.896406650543213
e024982a-233f-45b4-a6ec-505f5b0c2649/0038/x,1.0050327777862549
e024982a-233f-45b4-a6ec-505f5b0c2649/0038/y,-1.5386013984680176
e024982a-233f-45b4-a6ec-505f5b0c2649/0038/z,11.48737621307373
e024982a-233f-45b4-a6ec-505f5b0c2649/0056/x,0.4911860227584839
e024982a-233f-45b4-a6ec-505f5b0c2649/0056/y,-1.2228950262069702
e024982a-233f-45b4-a6ec-505f5b0c2649/0056/z,8.26683521270752
e024982a-233f-45b4-a6ec-505f5b0c2649/0077/x,0.33191168308258057
e024982a-233f-45b4-a6ec-505f5b0c2649/0077/y,-1.1846007108688354
e024982a-233f-45b4-a6ec-505f5b0c2649/0077/z,7.306484699249268
e024982a-233f-45b4-a6ec-505f5b0c2649/0063/x,0.3171696066856384
e024982a-233f-45b4-a6ec-505f5b0c2649/0063/y,-1.1611964702606201
e024982a-233f-45b4-a6ec-505f5b0c2649/0063/z,8.256246566772461
e024982a-233f-45b4-a6ec-505f5b0c2649/0019/x,1.0810973644256592
e024982a-233f-45b4-a6ec-505f5b0c2649/0019/y,-1.532822847366333
e024982a-233f-45b4-a6ec-505f5b0c2649/0019/z,11.436976432800293
e024982a-233f-45b4-a6ec-505f5b0c2649/0013/x,1.2335056066513062
e024982a-233f-45b4-a6ec-505f5b0c2649/0013/y,-1.6865571737289429
e024982a-233f-45b4-a6ec-505f5b0c2649/0013/z,11.35444450378418
e024982a-233f-45b4-a6ec-505f5b0c2649/0069/x,2.520313262939453
e024982a-233f-45b4-a6ec-505f5b0c2649/0069/y,-1.1984020471572876
e024982a-233f-45b4-a6ec-505f5b0c2649/0069/z,7.319382190704346
e024982a-233f-45b4-a6ec-505f5b0c2649/0007/x,1.2068392038345337
e024982a-233f-45b4-a6ec-505f5b0c2649/0007/y,-1.6226398944854736
e024982a-233f-45b4-a6ec-505f5b0c2649/0007/z,11.482494354248047
e024982a-233f-45b4-a6ec-505f5b0c2649/0026/x,1.08464777469635
e024982a-233f-45b4-a6ec-505f5b0c2649/0026/y,-1.767392635345459
e024982a-233f-45b4-a6ec-505f5b0c2649/0026/z,11.919500350952148
e024982a-233f-45b4-a6ec-505f5b0c2649/0032/x,1.1189730167388916
e024982a-233f-45b4-a6ec-505f5b0c2649/0032/y,-1.5300476551055908
e024982a-233f-45b4-a6ec-505f5b0c2649/0032/z,11.412508010864258
e024982a-233f-45b4-a6ec-505f5b0c2649/0081/x,0.3034948706626892
e024982a-233f-45b4-a6ec-505f5b0c2649/0081/y,-1.173610806465149
e024982a-233f-45b4-a6ec-505f5b0c2649/0081/z,7.23968505859375
e024982a-233f-45b4-a6ec-505f5b0c2649/0048/x,0.11338881403207779
e024982a-233f-45b4-a6ec-505f5b0c2649/0048/y,-1.3737443685531616
e024982a-233f-45b4-a6ec-505f5b0c2649/0048/z,8.121256828308105
e024982a-233f-45b4-a6ec-505f5b0c2649/0064/x,0.316980242729187
e024982a-233f-45b4-a6ec-505f5b0c2649/0064/y,-1.1018760204315186
e024982a-233f-45b4-a6ec-505f5b0c2649/0064/z,8.252090454101562
e024982a-233f-45b4-a6ec-505f5b0c2649/0070/x,2.228285074234009
e024982a-233f-45b4-a6ec-505f5b0c2649/0070/y,-1.0928118228912354
e024982a-233f-45b4-a6ec-505f5b0c2649/0070/z,6.6983537673950195
e024982a-233f-45b4-a6ec-505f5b0c2649/0051/x,0.45724180340766907
e024982a-233f-45b4-a6ec-505f5b0c2649/0051/y,-1.4447572231292725
